Tacticam File,Matched Broadcast File,Similarity Score
tacticam_frame110_player13.jpg,broadcast_frame41_player7.jpg,0.9448
tacticam_frame110_player14.jpg,broadcast_frame81_player10.jpg,0.9646
tacticam_frame110_player15.jpg,broadcast_frame24_player11.jpg,0.9506
tacticam_frame110_player16.jpg,broadcast_frame101_player8.jpg,0.9618
tacticam_frame110_player17.jpg,broadcast_frame12_player8.jpg,0.9684
tacticam_frame110_player18.jpg,broadcast_frame17_player8.jpg,0.957
tacticam_frame110_player2.jpg,broadcast_frame17_player8.jpg,0.9776
tacticam_frame110_player3.jpg,broadcast_frame125_player5.jpg,0.9779
tacticam_frame110_player4.jpg,broadcast_frame124_player6.jpg,0.9662
tacticam_frame110_player5.jpg,broadcast_frame20_player3.jpg,0.9692
tacticam_frame110_player6.jpg,broadcast_frame106_player0.jpg,0.9492
tacticam_frame110_player7.jpg,broadcast_frame67_player5.jpg,0.9265
tacticam_frame110_player8.jpg,broadcast_frame101_player8.jpg,0.9556
tacticam_frame110_player9.jpg,broadcast_frame116_player8.jpg,0.9654
tacticam_frame111_player0.jpg,broadcast_frame80_player12.jpg,0.9583
tacticam_frame111_player1.jpg,broadcast_frame80_player10.jpg,0.962
tacticam_frame111_player10.jpg,broadcast_frame72_player6.jpg,0.9672
tacticam_frame111_player11.jpg,broadcast_frame21_player7.jpg,0.9609
tacticam_frame111_player12.jpg,broadcast_frame43_player6.jpg,0.965
tacticam_frame111_player13.jpg,broadcast_frame113_player5.jpg,0.9602
tacticam_frame111_player14.jpg,broadcast_frame17_player8.jpg,0.9717
tacticam_frame111_player15.jpg,broadcast_frame39_player6.jpg,0.9373
tacticam_frame111_player16.jpg,broadcast_frame114_player8.jpg,0.9723
tacticam_frame111_player17.jpg,broadcast_frame108_player8.jpg,0.9603
tacticam_frame111_player18.jpg,broadcast_frame104_player7.jpg,0.9718
tacticam_frame111_player2.jpg,broadcast_frame108_player8.jpg,0.9525
tacticam_frame111_player3.jpg,broadcast_frame20_player3.jpg,0.969
tacticam_frame111_player4.jpg,broadcast_frame124_player5.jpg,0.9618
tacticam_frame111_player5.jpg,broadcast_frame98_player4.jpg,0.9654
tacticam_frame111_player6.jpg,broadcast_frame98_player4.jpg,0.9511
tacticam_frame111_player7.jpg,broadcast_frame122_player7.jpg,0.9486
tacticam_frame111_player8.jpg,broadcast_frame93_player2.jpg,0.9604
tacticam_frame111_player9.jpg,broadcast_frame117_player3.jpg,0.9837
tacticam_frame112_player0.jpg,broadcast_frame33_player8.jpg,0.9549
tacticam_frame112_player1.jpg,broadcast_frame101_player8.jpg,0.9593
tacticam_frame112_player10.jpg,broadcast_frame125_player5.jpg,0.9764
tacticam_frame112_player11.jpg,broadcast_frame17_player8.jpg,0.9783
tacticam_frame112_player12.jpg,broadcast_frame104_player7.jpg,0.9485
tacticam_frame112_player13.jpg,broadcast_frame95_player4.jpg,0.9565
tacticam_frame112_player14.jpg,broadcast_frame120_player4.jpg,0.9625
tacticam_frame112_player15.jpg,broadcast_frame115_player6.jpg,0.9676
tacticam_frame112_player16.jpg,broadcast_frame120_player4.jpg,0.9537
tacticam_frame112_player17.jpg,broadcast_frame114_player8.jpg,0.9734
tacticam_frame112_player18.jpg,broadcast_frame106_player0.jpg,0.9592
tacticam_frame112_player19.jpg,broadcast_frame115_player6.jpg,0.944
tacticam_frame112_player2.jpg,broadcast_frame94_player4.jpg,0.9559
tacticam_frame112_player3.jpg,broadcast_frame122_player7.jpg,0.9545
tacticam_frame112_player4.jpg,broadcast_frame48_player8.jpg,0.9394
tacticam_frame112_player5.jpg,broadcast_frame120_player5.jpg,0.9656
tacticam_frame112_player6.jpg,broadcast_frame98_player4.jpg,0.9613
tacticam_frame112_player7.jpg,broadcast_frame93_player2.jpg,0.9383
tacticam_frame112_player8.jpg,broadcast_frame69_player6.jpg,0.9576
tacticam_frame112_player9.jpg,broadcast_frame42_player7.jpg,0.9646
tacticam_frame113_player0.jpg,broadcast_frame69_player9.jpg,0.9322
tacticam_frame113_player1.jpg,broadcast_frame120_player4.jpg,0.9594
tacticam_frame113_player10.jpg,broadcast_frame98_player4.jpg,0.9553
tacticam_frame113_player11.jpg,broadcast_frame43_player6.jpg,0.9615
tacticam_frame113_player12.jpg,broadcast_frame80_player4.jpg,0.9548
tacticam_frame113_player13.jpg,broadcast_frame98_player4.jpg,0.9421
tacticam_frame113_player14.jpg,broadcast_frame83_player9.jpg,0.9701
tacticam_frame113_player15.jpg,broadcast_frame17_player8.jpg,0.9699
tacticam_frame113_player16.jpg,broadcast_frame74_player3.jpg,0.9288
tacticam_frame113_player17.jpg,broadcast_frame81_player10.jpg,0.9692
tacticam_frame113_player18.jpg,broadcast_frame52_player9.jpg,0.9282
tacticam_frame113_player19.jpg,broadcast_frame98_player4.jpg,0.958
tacticam_frame113_player2.jpg,broadcast_frame27_player7.jpg,0.9586
tacticam_frame113_player3.jpg,broadcast_frame78_player3.jpg,0.9536
tacticam_frame113_player4.jpg,broadcast_frame98_player4.jpg,0.9486
tacticam_frame113_player5.jpg,broadcast_frame79_player3.jpg,0.9666
tacticam_frame113_player6.jpg,broadcast_frame64_player4.jpg,0.9737
tacticam_frame113_player7.jpg,broadcast_frame17_player8.jpg,0.972
tacticam_frame113_player8.jpg,broadcast_frame122_player7.jpg,0.9533
tacticam_frame113_player9.jpg,broadcast_frame81_player10.jpg,0.9703
tacticam_frame114_player0.jpg,broadcast_frame69_player9.jpg,0.9351
tacticam_frame114_player1.jpg,broadcast_frame96_player2.jpg,0.9318
tacticam_frame114_player10.jpg,broadcast_frame98_player4.jpg,0.9555
tacticam_frame114_player11.jpg,broadcast_frame68_player8.jpg,0.9697
tacticam_frame114_player12.jpg,broadcast_frame108_player8.jpg,0.9677
tacticam_frame114_player13.jpg,broadcast_frame78_player5.jpg,0.9696
tacticam_frame114_player14.jpg,broadcast_frame114_player8.jpg,0.9539
tacticam_frame114_player15.jpg,broadcast_frame116_player7.jpg,0.9567
tacticam_frame114_player16.jpg,broadcast_frame21_player7.jpg,0.9512
tacticam_frame114_player17.jpg,broadcast_frame97_player1.jpg,0.9648
tacticam_frame114_player2.jpg,broadcast_frame19_player7.jpg,0.9453
